game_id,home_team,away_team,week,start_timestamp,sofa_odds_away,sofa_odds_draw,sofa_odds_home,p_sofa_home_no_vig,p_sofa_draw_no_vig,p_sofa_away_no_vig,sofa_margin,home_norm,away_norm,event_id,commence_time,theodds_home_team,theodds_away_team,n_bookmakers,avg_market_margin,p_market_home_no_vig,p_market_draw_no_vig,p_market_away_no_vig,has_theodds_match,has_sofascore_1x2,p_consensus_home,p_consensus_draw,p_consensus_away,delta_sofa_vs_theodds_home,delta_sofa_vs_theodds_draw,delta_sofa_vs_theodds_away,max_abs_delta_sofa_theodds,MarketConsensusFlag,Equipo A,Equipo B
15186526,Qatar,Switzerland,1,1781377200,1.22,6.25,12.0,0.0783940780342363,0.1505166298257338,0.7710892921400297,0.0630054644808744,Qatar,Switzerland,26634922d3f78c146440816023e40de8,2026-06-13T19:00:00Z,Qatar,Switzerland,24,0.0496298023385633,0.0746632838231203,0.1509821397071414,0.774354576469738,True,True,0.0755959823758993,0.1508657622367895,0.7735382553873112,0.003730794211116,-0.0004655098814075,-0.0032652843297082,0.003730794211116,Consenso alto,Qatar,Suiza
15186710,Mexico,South Africa,1,1781204400,8.0,4.333333333333334,1.4,0.6675224646983312,0.2156611039794608,0.1168164313222079,0.070054945054945,Mexico,South Africa,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,25,0.0457492352956973,0.6701922164344063,0.2158726697744299,0.1139351137911637,True,True,0.6695247785003876,0.2158197783256876,0.1146554431739247,-0.002669751736075,-0.000211565794969,0.0028813175310442,0.0028813175310442,Consenso alto,México,Sudáfrica
15186720,South Korea,Czechia,1,1781229600,2.75,3.1,2.6,0.3591742152938698,0.3012428902464714,0.3395828944596587,0.0708323934130386,South Korea,Czechia,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,23,0.0501749833705951,0.3617080615112144,0.3035914914428688,0.3347004470459168,True,True,0.3610745999568782,0.3030043411437695,0.3359210588993523,-0.0025338462173445,-0.0023486011963973,0.0048824474137419,0.0048824474137419,Consenso alto,Corea del Sur,Chequia
15186836,Canada,Bosnia & Herzegovina,1,1781290800,4.5,3.7,1.8,0.5300859598853869,0.2578796561604584,0.2120343839541547,0.048048048048048,Canada,Bosnia and Herzegovina,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,24,0.0500092311935101,0.5269802238120068,0.2624991954456735,0.2105205807423197,True,True,0.5277566578303519,0.2613443106243697,0.2108990315452784,0.00310573607338,-0.0046195392852151,0.001513803211835,0.0046195392852151,Consenso alto,Canadá,Bosnia & Herzegovina
15186850,Brazil,Morocco,1,1781388000,5.75,3.8,1.62,0.5854612684547574,0.2495913828675544,0.1649473486776881,0.0543548888323868,Brazil,Morocco,f6c8748a16516e0998f95de14235432a,2026-06-13T22:00:00Z,Brazil,Morocco,24,0.0502831765266727,0.5895247208858446,0.2441996476555197,0.1662756314586356,True,True,0.5885088577780728,0.2455475814585284,0.1659435607633987,-0.0040634524310871,0.0053917352120347,-0.0013282827809474,0.0053917352120347,Consenso alto,Brasil,Marruecos
15186853,Haiti,Scotland,1,1781398800,1.5,4.75,5.5,0.1716867469879518,0.1987951807228915,0.6295180722891567,0.059011164274322,Haiti,Scotland,5ae41a06735c926eeb7f74006933adce,2026-06-14T01:00:00Z,Haiti,Scotland,24,0.0506003407293794,0.1443620818710678,0.2177830228227758,0.6378548953061562,True,True,0.1511932481502888,0.2130360622978047,0.6357706895519064,0.027324665116884,-0.0189878420998842,-0.0083368230169995,0.027324665116884,Consenso alto,Haití,Escocia
15186873,USA,Paraguay,1,1781312400,4.0,3.4,1.95,0.4851944345344274,0.2782732786300392,0.2365322868355333,0.0569381598793363,United States,Paraguay,c12986f447a515fbe641addd786dbb24,2026-06-13T01:00:00Z,USA,Paraguay,24,0.0502492831854331,0.4810320097491016,0.2781596703840858,0.2408083198668125,True,True,0.482072615945433,0.2781880724455741,0.2397393116089927,0.0041624247853258,0.0001136082459534,-0.0042760330312791,0.0042760330312791,Consenso alto,USA,Paraguay
15186874,Australia,Türkiye,1,1781409600,1.75,3.6,4.75,0.1986598344501379,0.2621206148994876,0.5392195506503745,0.0597326649958227,Australia,Turkey,564084f52cc9f1abcc18187c168a7cdc,2026-06-14T04:00:00Z,Australia,Turkey,24,0.0508498132776638,0.2000684402383033,0.2624489351973139,0.5374826245643828,True,True,0.1997162887912619,0.2623668551228573,0.5379168560858807,-0.0014086057881653,-0.0003283202978262,0.0017369260859917,0.0017369260859917,Consenso alto,Australia,Türkiye
15186899,Germany,Curaçao,1,1781456400,41.0,19.0,1.03,0.9264985727878212,0.0502259752616555,0.0232754519505233,0.0478956092575744,Germany,Curaçao,d79edbd6aaeb578d33e313446b18d333,2026-06-14T17:00:00Z,Germany,Curaçao,19,0.0403137564637165,0.925861236363373,0.0553397064150119,0.018799057221615,True,True,0.9260205704694852,0.0540612736266728,0.019918155903842,0.000637336424448,-0.0051137311533563,0.0044763947289083,0.0051137311533563,Consenso alto,Alemania,Curazao
15186945,Netherlands,Japan,1,1781467200,3.5,3.8,1.95,0.4830216088614491,0.2478663519157435,0.2691120392228073,0.0616926932716406,Netherlands,Japan,32ec06abda2398ac41501c86eb9aa376,2026-06-14T20:00:00Z,Netherlands,Japan,23,0.0502159164915869,0.4799508580915292,0.2617066845669551,0.2583424573415155,True,True,0.4807185457840092,0.2582466014041523,0.2610348528118385,0.0030707507699199,-0.0138403326512115,0.0107695818812918,0.0138403326512115,Consenso alto,Países Bajos,Japón
